molecule_chembl_id,canonical_smiles,standard_value,bio_class
CHEMBL527420,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2C(=O)C[C@@H]2[C@@](C)(CC(=O)O)[C@H](C(C)(C)C(=O)O)CC[C@]23C)O1,22800.0,inactive
CHEMBL488536,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)C[C@](O)(C(=O)O)C(C)(C)[C@@H]4CC[C@]23C)O1,10000.0,inactive
CHEMBL488733,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)C[C@](O)(C(=O)O)C(C)(C)[C@@H]4C(=O)C[C@]23C)O1,29900.0,inactive
CHEMBL449466,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]4CC[C@]23C)O1,2700.0,intermediate
CHEMBL510592,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2C(=O)C[C@@H]2[C@@]4(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]4CC[C@]23C)O1,6500.0,intermediate
CHEMBL448055,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]4[C@@H](O)C[C@]23C)O1,3900.0,intermediate
CHEMBL507579,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4[C@@H](OC(=O)CC(C)(C)C(=O)O)C[C@]23C)O1,2700.0,intermediate
CHEMBL507189,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]4[C@@H](OC(=O)CC(C)(C)C(=O)O)C[C@]23C)O1,5400.0,intermediate
CHEMBL449203,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2C(=O)C[C@@H]2[C@@]4(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]4[C@@H](OC(=O)CC(C)(C)C(=O)O)C[C@]23C)O1,10900.0,inactive
CHEMBL296588,CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,1300.0,intermediate
CHEMBL451129,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccc2ccccc2n1)[C@H]1CCOC1,0.05,active
CHEMBL18389,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1,160.0,active
CHEMBL101560,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)OC1CCCC1,0.3,active
CHEMBL273317,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCS(=O)(=O)C1,76.0,active
CHEMBL113090,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CC[C@H]2OCC[C@@H]12,17.0,active
CHEMBL469086,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,1.4,active
CHEMBL492254,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2CCOCOC2)cc1,5.0,active
CHEMBL509137,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CC[C@H]3OCO[C@@H]23)cc1,3.8,active
CHEMBL510370,COc1ccc(S(=O)(=O)N(C[C@@H]2CCC(=O)N2)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CC[C@H]3OCC[C@@H]23)cc1,28.0,active
CHEMBL515324,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23[C@H](OC(C)=O)/C=C/[C@@H](C)C[C@@H](C)C/C=C/[C@H]3[C@@H]1O,3000.0,intermediate
CHEMBL474684,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23[C@H](OC(C)=O)/C=C/[C@@H](C)C[C@@](O)(CO)C/C=C/[C@H]3[C@@H]1O,45000.0,inactive
CHEMBL474278,C=C1[C@@H](C)[C@H]2[C@H](Cc3cccc(O)c3)NC(=O)[C@]23[C@H](OC(C)=O)/C=C/[C@@H](C)C[C@@H](CO)C/C=C/[C@H]3[C@@H]1O,38000.0,inactive
CHEMBL514773,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccc(O)cc3)NC(=O)[C@]23[C@H](OC(C)=O)/C=C/[C@@H](C)C[C@@H](CO)C/C=C/[C@H]3[C@@H]1O,35000.0,inactive
CHEMBL473053,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23[C@H](OC(C)=O)/C=C/[C@@H](C)C[C@@H](CO)C/C=C/[C@H]3[C@@H]1O,22000.0,inactive
CHEMBL109952,O=C(N[C@H]1c2ccccc2C[C@H]1O)[C@H](Cc1ccccc1)CC(O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,0.6,active
CHEMBL1627246,CC(C)(C)NC(=O)[C@H]1CN(Cc2cccnc2)CCN1C[S+](=N)([O-])C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O,100000.0,inactive
CHEMBL1627244,CC(C)(C)NC(=O)[C@H]1CN(Cc2cccnc2)CCN1C[S+]([O-])C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O,100000.0,inactive
CHEMBL498854,CCCC(=O)N[C@@H](CSCCOCCOCCSC[C@H](NC(=O)CCC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,87000.0,inactive
CHEMBL446001,CCCCC(=O)N[C@@H](CSCCOCCOCCSC[C@H](NC(=O)CCCC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,50000.0,inactive
CHEMBL510483,CCCCCC(=O)N[C@@H](CSCCOCCOCCSC[C@H](NC(=O)CCCCC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,14900.0,inactive
CHEMBL504512,CCCCCCC(=O)N[C@@H](CSCCOCCOCCSC[C@H](NC(=O)CCCCCC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,4000.0,intermediate
CHEMBL443471,CC(C)C[C@H](NC(=O)[C@H](CSCCOCCOCCSC[C@H](NC(=O)C1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)NC(=O)C1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,19500.0,inactive
CHEMBL507080,CC(C)C[C@H](NC(=O)[C@H](CSCCOCCOCCSC[C@H](NC(=O)CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)NC(=O)CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,9500.0,intermediate
CHEMBL449860,CC(C)C[C@H](NC(=O)[C@H](CSCCOCCOCCSC[C@H](NC(=O)CCC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)NC(=O)CCC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,2500.0,intermediate
CHEMBL466288,CC(C)C[C@H](NC(=O)[C@H](CSCCOCCOCCSC[C@H](NC(=O)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)NC(=O)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,2500.0,intermediate
CHEMBL500554,CC(C)C[C@H](NC(=O)[C@H](CSCCOCCOCCSC[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)NC(=O)CCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,6500.0,intermediate
CHEMBL478672,CC(C)C[C@H](NC(=O)[C@H](CSCCOCCOCCSC[C@H](NC(=O)COc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)NC(=O)COc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,2900.0,intermediate
